Sample_ID;LATf;LONGf;Reference;LATi;LONGi;SiO2;MgO;TiO2;Al2O3;Fe2O3t;MnO;CaO;Na2O;K2O;P2O5;LOI;Fe2O3;FeO;Ba;Rb;Sr;Itrio;Zr;Ti
B462;-26.419;-51.408;"Piccirillo and Melfi, 1988; Marques et al., 1999";-26,419;-51,408;51.35;4.55;1.45;14.36;12.404;0.21;9.26;2.89;1;0.19;0.96;4.36;8.48;212;33;171.4;35;124;8692.91
B501;-26.586;-51.081;"Piccirillo and Melfi, 1988; Marques et al., 1999";-26,586;-51,081;49.54;6.03;1.4;14.47;12.044;0.2;10.34;2.55;0.72;0.18;1.19;5.56;7.04;174;22.9;163.1;31;112;8393.15
B505;-26.669;-50.997;"Piccirillo and Melfi, 1988; Marques et al., 1999";-26,669;-50,997;48.28;5.7;1.49;14.92;12.604;0.22;10.93;2.55;0.42;0.18;1.31;4.66;8.41;184;8.61;197;27;114;8932.71
B510;-26.76;-51.161;"Piccirillo and Melfi, 1988; Marques et al., 1999";-26.76;-51,161;51.3;5.34;1.47;14.08;12.179;0.2;9.49;2.36;1.07;0.19;0.98;4.51;8.12;228;34;166.8;29;129;8812.81
B557;-25.411;-51.285;"Piccirillo and Melfi, 1988; Marques et al., 1999";-25,411;-51,285;48.8;5.01;1.49;14.94;13.158;0.24;10.55;2.86;0.35;0.2;0.94;5.32;8.37;190;21.1;182;37;108;8932.71
GB254;-25;-51;"Piccirillo and Melfi, 1988; Marques et al., 1999";-25;-51;51.7;4.24;2.02;14.3;14.22;0.22;9.49;2.84;0.72;0.25;0;0;;364;35;288;35;160;12110.12
SB339;-29.472;-51.353;"Piccirillo and Melfi, 1988; Marques et al., 1999";-29,472;-51,353;49.91;7.84;1.04;15.11;10.077;0.16;10.56;1.81;0.87;0.19;1.31;4.43;6.09;216;26;225;21;112;6234.91
SB346;-29.335;-51.416;"Piccirillo and Melfi, 1988; Marques et al., 1999";-29,335;-51,416;52.27;4.84;1.27;15.45;10.422;0.16;9.07;2.44;1.45;0.23;1.24;4.38;6.48;347;43;239;29;169;7613.79
DUP38;-28.08;-49.62;Peate and Hawkesworth, 1996;-28.08;-49.62;56.14;3.26;1.68;13.19;13.54;0.19;6.39;2.81;2.57;0.24;0.44;;;461;86;211;44;220;10071.78
DUP30;-28.08;-49.62;Peate and Hawkesworth, 1996;-28.08;-49.62;50.89;7.99;0.95;14.92;10.34;0.17;11.61;2.44;0.51;0.16;0.9;;;243;10;216;23;92;5695.35
DUP27;-28.08;-49.62;Peate and Hawkesworth, 1996;-28.08;-49.62;53.77;4.2;1.74;13.49;14.05;0.21;8.29;3.19;0.79;0.27;1.21;;;499;57;301;39;205;10431.49
DUP26;-28.08;-49.62;Peate and Hawkesworth, 1996;-28.08;-49.62;54.01;4.31;1.64;13.38;13.69;0.18;8.77;2.64;1.12;0.26;1.4;;;470;45;269;37;192;9831.98
DUP25;-28.08;-49.62;Peate and Hawkesworth, 1996;-28.08;-49.62;52.84;4.99;1.61;13.78;13.62;0.21;8.92;2.97;0.81;0.25;1.05;;;416;42;266;36;176;9652.13
DUP08;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;52.66;5.6;1.37;14.34;12.42;0.19;9.22;2.82;1.14;0.23;0.88;;;353;28;287;30;149;8213.3
DUP09;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;54.25;5.23;1.35;14.14;11.83;0.19;9.03;2.54;1.22;0.21;0.86;;;317;39;352;30;148;8093.4
DUP10;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;54.49;5.09;1.36;13.85;11.95;0.18;8.67;2.75;1.42;0.23;0.73;;;389;36;294;31;156;8153.35
DUP14;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;54.28;4.55;1.58;13.52;13.25;0.17;8.73;2.38;1.3;0.24;1.07;;;483;48;321;36;179;9472.27
DUP15;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;51.74;4.94;1.67;14.09;14.24;0.23;9.32;2.57;0.97;0.25;1.47;;;417;35;299;41;190;10011.83
DUP16;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;53.24;4.92;1.61;13.66;13.54;0.21;8.65;2.58;1.36;0.23;0.62;;;419;38;263;41;178;9652.13
DUP17;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;53.13;4.77;1.61;13.61;13.59;0.2;9.02;2.71;1.16;0.22;0.91;;;354;38;267;34;178;9652.13
DUP18;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;54.46;4.42;1.6;13.38;13.47;0.2;7.81;2.65;1.78;0.22;0.45;;;436;48;219;38;187;9592.18
DUP21;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;52.41;4.59;1.83;14.05;14.45;0.23;8.94;2.39;0.84;0.28;1.76;;;429;25;367;45;222;10971.05
DUP22;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;53.86;4.38;1.65;13.58;13.46;0.19;7.99;2.95;1.64;0.31;0.83;;;471;52;252;39;193;9891.93
DUP24;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;53.27;4.95;1.62;13.63;13.65;0.21;8.68;2.56;1.21;0.23;0.5;;;423;26;294;35;177;9712.08
DSM19;-28.12;-49.46;Peate and Hawkesworth, 1996;-28.12;-49.46;53.44;4.56;1.65;13.65;13.59;0.2;8.54;2.58;1.56;0.24;0.14;;;358;43;247;37;184;9891.93
DSM18;-28.12;-49.46;Peate and Hawkesworth, 1996;-28.12;-49.46;52.67;5.18;1.47;13.95;13.36;0.2;9.37;2.74;0.8;0.24;0.45;;;321;19;321;33;159;8812.81
DSM15;-28.12;-49.46;Peate and Hawkesworth, 1996;-28.12;-49.46;54.49;4.68;1.45;13.67;12.6;0.2;8.58;2.84;1.27;0.22;1.47;;;385;67;284;38;154;8692.91
DSM14;-28.12;-49.46;Peate and Hawkesworth, 1996;-28.12;-49.46;54.5;4.9;1.34;13.93;12.22;0.19;8.8;2.62;1.28;0.23;1.07;;;359;49;220;32;150;8033.45
DSM13;-28.12;-49.46;Peate and Hawkesworth, 1996;-28.12;-49.46;54.08;3.89;1.74;13.27;14.25;0.21;8.26;2.76;1.26;0.29;1.26;;;367;60;258;39;177;10431.49
DSM12;-28.12;-49.46;Peate and Hawkesworth, 1996;-28.12;-49.46;54.48;5.01;1.34;13.78;12.26;0.19;8.69;2.82;1.17;0.24;0.94;;;344;41;232;30;147;8033.45
DSM11;-28.115;-49.463;Peate and Hawkesworth, 1996;-28,115;-49,463;54.26;3.97;1.73;13.36;14.29;0.22;8.18;2.06;1.61;0.32;1.94;;;324;51;234;39;180;10371.54
DGB05;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;54.29;4.35;1.47;13.91;12.98;0.2;8.16;2.74;1.68;0.21;0.45;;;536;57;232;37;195;8812.81
DGB08;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;52.61;5.37;1.04;15.77;11.63;0.17;9.56;2.48;1.24;0.12;0.33;;;316;41;222;26;124;6234.91
DGB43;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;52.58;6.98;0.97;14.56;10.99;0.17;10.29;2.46;0.89;0.12;1.53;;;226;19;266;22;97;5815.26
DGB27;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;54.77;4.26;1.65;13.36;13.49;0.19;8.32;2.48;1.22;0.24;1.16;;;259;31;276;34;171;9891.93
DGB21;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;53.21;4.32;1.82;13.34;14.72;0.19;8.34;2.84;0.96;0.26;1.48;;;486;41;291;37;204;10911.1
DGB20;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;53.62;4.31;1.7;13.67;13.97;0.2;8.37;2.89;1.02;0.24;1.16;;;431;51;260;38;197;10191.69
DGB19;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;52.96;4.73;1.63;13.8;13.74;0.21;8.86;2.69;1.14;0.23;0.94;;;388;39;259;35;178;9772.03
DGB18;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;55.8;3.6;1.76;13.63;13.03;0.18;6.26;3.04;2.42;0.28;0.56;;;494;86;177;43;223;10551.39
DGB15;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;57.18;3.18;1.73;13.59;12.5;0.19;6.43;2.63;2.29;0.28;1.09;;;500;69;187;44;235;10371.54
DGB11;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;51.48;5.76;1.34;14.45;13.51;0.2;10.29;2.36;0.43;0.19;1.7;;;336;10;212;29;130;8033.45
